ID,location_name,lat,long
2356355,Pouèdogo,12.11667,-2.31667
2356356,Pouédogo,11.95,-1.55
2356357,Poué,12.38333,-3.98333
2356358,Poudougué,11.63333,-0.05
2356359,Poubouandi,13.18018,-0.05657
2356360,Poubié,10.75,-3.05
2356361,Pouarougou,12.05,0.93333
2356362,Pouarogoudi,12.33333,0.05
2356363,Pouan Youkondi,12.08333,0.9
2356364,Pouaiara,11.05,-0.6
2356365,Pou,12.26667,-2.53333
2356366,Potyèrtougou,12.33089,1.70192
2356367,Potyandya,12.48333,0.23333
2356368,Potyamanga,12.09517,0.44836
2356369,Posso,13.97041,-2.24707
2356370,Posso,13.08904,-2.64134
2356371,Ponsomtinga,12.2321,-1.47977
2356372,Posna,13.03066,-1.6793
2356373,Posga,12.56667,0.36667
2356374,Poro,13.2346,-3.3391
2356375,Pori,12.58912,2.03905
2356376,Pori,11.36667,-1.56667
2356377,Poré,11.48333,-2.1
2356378,Pora,11.08333,-1.6
2356379,Popoul,10.48333,-3.36667
2356380,Kopoï,11.60327,-3.37254
2356381,Popiho,11.68333,-3.7
2356382,Pontityaga,13.21886,0.60099
2356383,Pontiéba,11.11667,-3.11667
2356384,Ponoro,10.18333,-3.4
2356385,Ponissio,9.86667,-3.25
2356386,Province du Poni,10.25,-3.41667
2356387,Poni,10.02843,-2.78366
2356388,Pondyomongou,12.06667,0.41667
2356389,Ponalétéon,10.23333,-2.91667
2356390,Pompoï,11.8562,-3.23366
2356391,Pomé,11.43333,-2.78333
2356392,Poltionao,10.13333,-3.48333
2356393,Poloy,13.50275,0.59174
2356394,Poloukpara,10.25,-3.3
2356395,Pollé,10.35,-2.86667
2356396,Polla,10.12941,-3.31503
2356397,Politionao,10.25,-3.48333
2356398,Poli,12.81667,-0.56667
2356399,Bolen,12.74877,-1.28037
2356400,Polanko,10.21667,-3.28333
2356401,Pokorossou,10.33333,-3.78333
2356402,Pokoro,10.43333,-3.65
2356403,Pokarana,10.33333,-3.45
2356404,Poka,13.43416,-0.13396
2356405,Poka,13.43493,-0.07482
2356406,Poïne,11.3,-3.5
